ornament,voice,bar,pitch
Q -1 Q,3,2 1/4,57
E -1 E -2 E 2 E 1 H.,3,2 5/8,57
R 0 E -1 E 1 E,2,3 5/4,58
E -1 E -2 E 2 E 1 Q,2,3 13/8,57
Q 2 Q,1,4 5/4,62
R 0 Q,0,4 7/4,65
Q -2 Q,0,5 1/4,65
Q -2 Q,0,6 1/4,67
Q -1 Q,0,6 3/4,69
R 0 Q 16 Q -4 H,1,6 3/2,53
H -12 Q,1,7 1/2,53
Q -2 Q,0,11 1/4,67
E -1 E -2 E 2 E 1 Q,0,11 13/8,66
Q -2 Q,2,12 1/4,53
R 0 Q,1,12 3/4,57
R 0 E -1 E 1 E,2,15 1/4,58
E -1 E -2 E 2 E 1 Q,2,15 5/8,57
R 0 Q,0,16 1/4,62
Q 1 Q,0,16 3/4,65
Q -2 Q,0,16 5/4,65
Q -2 Q,0,17 5/4,67
Q -1 Q,0,17 7/4,69
R 0 Q 16 Q -4 H,1,18 1/2,53
H -12 Q,1,18 3/2,53
Q -2 Q,0,22 5/4,67
Q -1 Q,0,22 7/4,64
E -2 E,0,23 1/8,60
E 2 E,0,23 3/8,64
E 2 E,0,23 5/8,67
E 1 E,0,23 7/8,70
Q -1 Q,0,24 5/4,66
E -1 E -2 E 2 E 1 H,0,24 13/8,66
E 1 E 2 E -3 E 1 E,1,25 5/8,63
E -1 E -2 E -2 E 2 E,1,25 9/8,62
R 0 E,3,25 13/8,58
E -2 E,3,25 15/8,55
Q 0 Q,1,26 1/4,57
Q 9 Q,1,26 5/4,61
R 0 E -2 E 2 E 1 W,0,26 13/8,61
Q 2 E -2 E 2 E,0,32 1/4,69
E -2 E -2 E -1 E -2 H,0,32 5/8,67
Q -2 E 2 E 2 E 1 E 2 E 2 E 1 H.,0,34 1/4,60
Q 3 Q,0,35 7/4,70
R 0 Q,2,38 1/4,53
Q 3 Q,0,39 7/4,70
Q -2 Q,2,40 1/4,58
Q -2 Q,0,40 3/4,70
R 0 Q,0,41 1/4,67
Q 2 Q,0,41 3/4,66
R 0 Q,2,41 5/4,58
Q -1 Q,0,41 7/4,66
Q -7 Q,2,42 1/4,48
Q 2 Q,0,42 3/4,71
Q 1 Q,0,43 1/4,67
Q -2 Q,0,43 3/4,67
